"","ID","Name","Industry","Inception","Employees","State","City","Revenue","Expenses","Profit","Growth"
"55",55,"Toughway","Financial Services","2010",219,"FL","St. Petersburg",13442136,3291056,10151080,9
"56",56,"Bluetexon","IT Services","2010",117,"TX","Plano",12685910,8350913,4334997,73
"57",57,"Nimvivafind","Financial Services","2009",34,"NJ","Newark",6714164,2632247,4081917,12
"58",58,"Eremenko","Financial Services","2012",60,"FL","Maitland",1563890,3162905,-1599015,11
"59",59,"Hot-Electrics","IT Services","2006",46,"GA","Augusta",5755303,1412142,4343161,85
"60",60,"Namdom","Software","2013",105,"IL","Chicago",8362411,2544307,5818104,48
"61",61,"Tempbam","Software","2013",134,"WA","Seattle",8980591,6089130,2891461,54
"62",62,"Goodhouse","IT Services","2009",63,"VA","Herndon",2890530,5667425,-2776895,72
"63",63,"Sumzoomit","Construction","2010",32,"MO","Lee's Summit",5064791,7703652,-2638861,19
"64",64,"Goodtex","Government Services","2011",150,"VA","Tysons Corner",13118996,9860686,3258310,8
"65",65,"Ranquote","Health","2013",400,"GA","Alpharetta",7147363,4206340,2941023,6
"66",66,"Zathtone","Software","2009",121,"NY","New York",8953759,4069681,4884078,49
"67",67,"Vivacode","Construction","2009",28,"LA","Lake Charles",8180609,4117102,4063507,5
"68",68,"Dongcom","Retail","2002",8,"NY","Cheektowaga",3277810,2772159,505651,10
"69",69,"Hexhouse","Software","2006",668,"MA","Cambridge",10221740,1885810,8335930,65
"70",70,"Jobzencane","Software","2011",40,"PA","WAYNE",8077060,2379903,5697157,63
"71",71,"Sailtech","Software","2012",850,"CA","Santa Clara",4543509,4474647,68862,42
"72",72,"Vilacan","Retail","1999",28,"UT","Orem",8636281,5973654,2662627,10
"73",73,"Stattechno","Health","2014",80,"WA","Seattle",1898434,4082936,-2184502,10
"74",74,"Conin","Construction","2009",23,"CA","Rancho Dominguez",3361583,6042545,-2680962,8
"75",75,"Rezumfind","IT Services","2000",50,"VA","Herndon",8512406,3101952,5410454,82
"76",76,"Xx--Fase","IT Services","2012",430,"TN","Nashville",14048981,3944877,10104104,75
"77",77,"Stiming","IT Services","2014",24,"NY","Williamsville",1068666,594698,473968,73
"78",78,"E-Can","Financial Services","2013",1628,"NJ","Mount Laurel",8218086,2958881,5259205,15
"79",79,"Tonjob","Financial Services","2010",87,"SB","Santa Barbara",1986877,2364775,-377898,9
"80",80,"Flextone","Financial Services","2010",250,"FL","Boca Raton",10335149,2494384,7840765,11
"81",81,"Lineity","Government Services","2006",113,"MA","Billerica",8621837,2359224,6262613,7
"82",82,"Voyadexon","Health","2010",545,"DA","Dallas",8913061,8763554,149507,8
"83",83,"Xn-Media","Health","2012",104,"NJ","Lyndhurst",7863279,5975968,1887311,5
"84",84,"Drilldrill","Software","2010",30,"SFO","San Francisco",6124180,2785799,3338381,45
"85",85,"Tristone","Construction","2013",43,"MD","Millersville",5570452,3476281,2094171,8
"86",86,"Treeelectrics","Government Services","2013",485,"VA","Clarksville",12208678,5536775,6671903,8
"87",87,"Tontam","Construction","2007",26,"VA","Ashburn",4561052,7119416,-2558364,8
"88",88,"Ganjatam","IT Services","2009",70,"NJ","Iselin",2395855,5170147,-2774292,64
"89",89,"Sumice","Retail","2013",318,"UT","Sandy",8697300,5654472,3042828,15
"90",90,"Vivadom","Software","2010",72,"CA","Santa Barbara",5586108,3656514,1929594,54
"91",91,"Hatvollex","IT Services","2002",75,"TX","FRISCO",4081484,5898202,-1816718,62
"92",92,"Rankfind","Government Services","2013",101,"VA","Fairfax",11210769,2837223,8373546,10
"93",93,"Fixcan","Retail","2009",3,"GA","Atlanta",3447828,4600156,-1152328,13
"94",94,"Technodexon","Software","2006",327,"UT","Provo",11554383,3538667,8015716,58
"95",95,"Tamtex","Government Services","2009",98,"VA","Fredericksburg",4140538,3840144,300394,9
"96",96,"Itquadlab","Government Services","2012",120,"VA","Arlington",8198522,7950351,248171,15
"97",97,"Kaysolodex","IT Services","2012",2670,"MI","Madison Heights",13310294,5879731,7430563,81
"98",98,"Kinlax","Financial Services","2002",100,"AZ","Tucson",11380872,6212849,5168023,14
"99",99,"Inchkix","Health","2011",29,"MA","Northampton",6141484,7427040,-1285556,7
"100",100,"Labam","Construction","2010",150,"FL","Winter Garden",8124116,5173904,2950212,12
"101",101,"Black-Tax","Construction","2012",22,"MD","Columbia",9043337,3772942,5270395,6
"102",102,"Med-City","Retail","2009",16,"IL","Cicero",4697012,5637042,-940030,10
"103",103,"Sunviaway","Health","2014",486,"NC","Morrisville",1614585,1323005,291580,6
"104",104,"Vaiatrax","Financial Services","2010",24,"PA","Philadelphia",5937407,444962,5492445,15
"105",105,"Ganzhex","Retail","2011",18,"NY","Hopewell Junction",2274727,2439137,-164410,12
"106",106,"Dongstreet","Health","2006",236,"IN","Princeton",7042297,6903334,138963,4
"107",107,"Basetrax","Construction","2011",28,"NY","Buffalo",6596057,1040662,5555395,10
"108",108,"Linetouch","Financial Services","2012",937,"PA","Plymouth Meeting",12514846,777731,11737115,12
"109",109,"Zenware","Health","2012",37,"CO","Centennial",1603717,3692982,-2089265,4
"110",110,"Tamqvocone","Health","2013",979,"TX","PEARLAND",9045108,7727397,1317711,5
"111",111,"Vivaity","Construction","2009",23,"WA","Lakewood",6249977,3147929,3102048,15
"112",112,"O-Touch","Health","2005",393,"TX","Frisco",9521727,5669858,3851869,4
"113",113,"Flexlane","IT Services","2004",120,"MI","Novi",12733374,4666917,8066457,60
"114",114,"Zotcare","IT Services","2005",75,"GA","Atlanta",5052156,1261501,3790655,77
"115",115,"Roundla","IT Services","2012",1500,"MD","Bethesda",20252673,628139,19624534,69
"116",116,"Requote","Government Services","2014",61,"MD","Bethesda",2675191,5947864,-3272673,14
"117",117,"Freshholdings","Government Services","2010",65,"FL","Orlando",7462081,1392917,6069164,5
"118",118,"Icezunzim","Software","2012",14,"VA","Richmond",2396679,4274358,-1877679,43
"119",119,"Hottam","Software","2011",25,"IN","Indianapolis",5418836,1875020,3543816,63
"120",120,"Lattechi","Retail","2012",30,"IL","Hickory Hills",8242683,1453319,6789364,15
"121",121,"It-Ity","Health","2010",31,"CA","Fresno",6495804,3802970,2692834,8
"122",122,"Islotfind","IT Services","2013",30,"DC","Washington",3881252,1639880,2241372,71
"123",123,"Yearla","Software","2004",31,"RI","Providence",2835596,5327158,-2491562,48
"124",124,"Dancane","Software","2010",42,"CT","New Haven",8501969,3513209,4988760,44
"125",125,"Citytrax","Financial Services","2010",21,"UT","Sandy",6832820,989656,5843164,6
"126",126,"Sail-Lam","Government Services","2013",120,"MD","Rockville",8540290,6523001,2017289,6
"127",127,"Zotjoit","IT Services","2012",50,"MN","Bloomington",9598713,5541102,4057611,61
"128",128,"Lanelex","Retail","2011",11,"KS","Wichita",7283273,3351685,3931588,12
"129",129,"Hayfan","Health","2012",97,"CA","San Diego",3010834,6001114,-2990280,4
"130",130,"Lacorporation","Software","2011",73,"CA","San Diego",6798761,4897146,1901615,44
"131",131,"Ganjafan","Government Services","2010",215,"NE","Omaha",8732985,6294265,2438720,5
"132",132,"Nimlux","Financial Services","2013",285,"NY","New York",7753213,1117206,6636007,5
"133",133,"Gogofan","Construction","2011",75,"FL","Winter Garden",2075319,5608635,-3533316,9
"134",134,"Sub-Fan","Software","2014",24,"MA","Boston",8168524,4916737,3251787,49
"135",135,"Mediagreen","Health","2013",80,"TX","Dallas",1088991,2758416,-1669425,8
"136",136,"Xx-Com","Retail","2013",308,"TX","Lubbock",15533083,2163836,13369247,14
"137",137,"Toughcare","Retail","2009",45,"CA","Burbank",5316385,5796075,-479690,13
"138",138,"Mathstrip","Government Services","2011",48,"VA","Reston",7399457,5788684,1610773,10
"139",139,"Vilait","Software","2011",240,"DE","Wilmington",4691853,3250700,1441153,58
"140",140,"Konkin","Health","2000",32,"TX","Austin",7161046,2753444,4407602,4
"141",141,"Unoline","IT Services","2011",140,"MN","Minneapolis",16086524,5624600,10461924,67
"142",142,"Truesaokix","Health","2010",160,"CA","San Clemente",12507074,5705847,6801227,7
"143",143,"Lamlax","IT Services","2010",30,"PA","Horsham",5432020,3263194,2168826,60
"144",144,"Saotaxon","Software","2000",76,"IL","Chicago",2688925,5383015,-2694090,48
"145",145,"Sanzatrax","Construction","2012",49,"CA","San Diego",3993866,4489463,-495597,16
"146",146,"Geoelectronics","Software","2010",75,"CA","San Diego",9492417,7693563,1798854,52
"147",147,"Konktouch","Software","2012",489,"KS","Overland Park",4720259,4434901,285358,61
"148",148,"Trans-Dexon","Financial Services","2003",77,"MA","Boston",3336039,1498325,1837714,6
"149",149,"Zimholding","IT Services","2002",7,"OR","Portland",5548753,405045,5143708,80
"150",150,"Scot-Lex","IT Services","2013",34,"MA","Chelmsford",7895505,4097491,3798014,68
"151",151,"Lexitrans","Health","2012",335,"WA","Seattle",9152251,8653818,498433,6
"152",152,"Phystouch","IT Services","2011",12,"NC","Waxhaw",7751854,847470,6904384,88
"153",153,"K-Job","IT Services","2013",150,"VA","Reston",12008969,3517340,8491629,85
"154",154,"Vilamedia","Software","2011",126,"VA","Blacksburg",7605926,3454719,4151207,63
"155",155,"Bignamjob","Health","2013",131,"IL","Elk Grove Village",8326486,7705075,621411,7
"156",156,"Kayplus","Government Services","2010",154,"FL","Clearwater",10855879,5611400,5244479,14
"157",157,"Hottom","Software","2011",40,"MD","Baltimore",7441481,2093538,5347943,53
"158",158,"Voltech","Software","2009",23,"NJ","Hamilton",9255105,5213751,4041354,44
"159",159,"Lamdombase","Construction","2012",7,"TX","Houston",9688254,5595183,4093071,12
"160",160,"Zathtechi","Software","2003",87,"CA","San Jose",5704215,2286092,3418123,52
"161",161,"Sunsaolax","Health","2013",15,"WA","Redmond",3398938,5835473,-2436535,7
"162",162,"Zamfax","Government Services","2012",130,"FL","Fort Walton Beach",9886455,1320669,8565786,12
"163",163,"Zer-Plus","Software","2008",27,"MA","Franklin",7517564,5240164,2277400,61
"164",164,"Hexzoomity","Health","2013",11,"TX","Austin",9754174,5863890,3890284,12
"165",165,"Vilahouse","Software","2011",12,"CA","San Diego",8166876,7543897,622979,43
"166",166,"Lamcare","Construction","1999",108,"NY","Staten Island",7547716,5232913,2314803,14
"167",167,"Keytouch","Construction","2013",35,"CA","Vista",8367107,5649633,2717474,9
"168",168,"Kincon","Software","2009",130,"MI","Ann Arbor",12239282,2973757,9265525,64
"169",169,"Tancode","IT Services","2014",7,"NY","Farmingdale",2532365,5204074,-2671709,73
"170",170,"Dripcane","IT Services","2010",56,"VA","Reston",6993500,2153035,4840465,85
"171",171,"Zimtechno","Software","2006",326,"MN","Minneapolis",13268611,6773400,6495211,54
"172",172,"Fax-Street","Software","2011",54,"CA","Aliso Viejo",6473281,4175332,2297949,44
"173",173,"Scotstrip","Software","2013",77,"CG","Chicago",7743889,125635,7618254,62
"174",174,"Bigfan","Software","2005",96,"WI","La Crosse",2407941,3093397,-685456,53
"175",175,"Kayis","IT Services","2002",26,"CA","Newport Beach",7671652,1232980,6438672,87
"176",176,"Drilllane","IT Services","2011",185,"VA","Ashburn",15240158,1367678,13872480,66
"177",177,"Randrill","Health","2010",84,"GA","Smyrna",2555986,7802235,-5246249,6
"178",178,"Techhigh","IT Services","2011",28,"OH","West Chester",1043122,5999660,-4956538,74
"179",179,"Saltstreet","IT Services","2012",80,"CA","Newark",6163183,6235328,-72145,84
"180",180,"Greenfan","Government Services","2013",35,"TX","San Antonio",8549761,6751232,1798529,5
"181",181,"Joblab","Government Services","2012",250,"VA","Herndon",10216792,3436060,6780732,14
"182",182,"Zenzootrax","Financial Services","2010",289,"IL","Chicago",9837545,2466042,7371503,13
"183",183,"Ittech","IT Services","2013",45,"MN","Minneapolis",2181615,6544488,-4362873,73
"184",184,"Volzoom","Retail","2006",27,"ME","Kittery",5319681,5081916,237765,13
"185",185,"Saofintone","Financial Services","2009",78,"CA","San Diego",8078433,841579,7236854,11
"186",186,"Indigoit","Retail","2011",15,"MI","Jackson",2954252,5349385,-2395133,15
"187",187,"K-Tone","Software","2013",26,"SC","North Charleston",2363719,4884584,-2520865,49
"188",188,"Triotexon","Software","2011",96,"FL","Tampa",4047975,1298258,2749717,50
"189",189,"Rehoting","IT Services","2014",30,"NC","Chapel Hill",3682119,5455657,-1773538,85
"190",190,"Kanlux","Software","2000",77,"VA","Chesapeake",8944182,4854787,4089395,41
"191",191,"Silit","Construction","2007",26,"VA","Chesapeake",2492538,7777972,-5285434,8
"192",192,"Fixlatcare","IT Services","2014",40,"TX","Dallas",4862361,634360,4228001,90
"193",193,"Zummalux","Government Services","2011",13,"MD","Woodbine",2154698,4113479,-1958781,6
"194",194,"Medbase","Software","2013",17,"GA","Roswell",6226081,4473383,1752698,63
"195",195,"Xx-Bam","Software","2009",140,"FL","Orlando",14229411,2327339,11902072,43
"196",196,"Jayphase","Software","2014",62,"CA","San Diego",1205999,4938867,-3732868,52
"197",197,"J-Unafase","Software","2014",24,"TX","Montgomery",5067263,71219,4996044,40
"198",198,"Singlefind","Construction","2014",25,"OK","Oklahoma City",9426222,4944684,4481538,5
"199",199,"Icephase","IT Services","2010",29,"VA","Glen Allen",5982452,6105205,-122753,88
"200",200,"Lalane","Retail","2003",45,"MN","Golden Valley",8539323,4934351,3604972,12
"201",201,"Linetax","IT Services","2013",171,"IL","Westchester",15091431,2907698,12183733,64
"202",202,"Hotlax","IT Services","2010",185,"NJ","Warren",11473628,2599091,8874537,62
"203",203,"E-Tex","IT Services","2003",85,"OH","Columbus",1317514,3974721,-2657207,81
"204",204,"Hexdom","IT Services","2012",10,"CA","Encino",4755791,4126154,629637,74
"205",205,"Acclaimedcirl","Health","2014",102,"CA","Pasadena",4484095,4177191,306904,11
"206",206,"Frayedintrigue","IT Services","2014",211,"TX","Addison",12846678,1435103,11411575,68
"207",207,"Nakedshrapnel","IT Services","2014",15,"FL","Orlando",5260353,3879436,1380917,81
"208",208,"Countslovenly","Construction","2010",45,"FL","Spring Hill",8376171,8213905,162266,10
"209",209,"Judgemicrosoft","IT Services","2012",70,"TX","Houston",4382794,3724605,658189,74
"210",210,"Reinforceputtock","Health","2002",88,"NJ","Moorestown",1069215,4263512,-3194297,6
"211",211,"Pursuitsskewer","IT Services","2001",16,"VA","Ashburn",5082919,887658,4195261,67
"212",212,"Geigerbeneficial","Financial Services","2013",33,"TX","Dallas",8743675,1499830,7243845,10
"213",213,"Relishtreasure","Government Services","2010",25,"VA","Sterling",6393903,1432738,4961165,12
"214",214,"Forearmblade","IT Services","2010",24,"MD","Annapolis",4839289,3279306,1559983,85
"215",215,"Nervousdispatcher","Financial Services","2011",80,"NY","New York",5937407,409237,5528170,8
"216",216,"Deliciousgeometry","IT Services","2010",30,"CA","Walnut",6971801,2661258,4310543,64
"217",217,"Dowdyweanling","Health","2014",32,"TX","Plano",5485580,4374602,1110978,8
"218",218,"Abstractedchocolat","IT Services","2009",2,"VA","Stafford",1784173,4960266,-3176093,60
"219",219,"Wiggakintail","IT Services","2010",55,"NY","Scarsdale",6795740,3796676,2999064,89
"220",220,"Machinewarn","IT Services","2009",128,"NC","Greensboro",16548371,6091555,10456816,70
"221",221,"Coatforked","Government Services","2012",59,"CA","Coronado",7256356,1243956,6012400,5
"222",222,"Loveboyle","IT Services","2012",19,"MA","Framingham",8236366,3814137,4422229,81
"223",223,"Admonishbadelynge","Government Services","2010",73,"AL","Huntsville",9175726,4117953,5057773,15
"224",224,"Siftercockamamie","Retail","2014",19,"AZ","Scottsdale",2325541,2498398,-172857,13
"225",225,"Chirpskipping","Health","2013",1107,"NE","Omaha",10643314,5666733,4976581,10
"226",226,"Discreetcorrosive","Government Services","2011",197,"VA","Sterling",7307498,5648408,1659090,5
"227",227,"Handlersthroated","Retail","2011",167,"MA","Boston",13592541,3987941,9604600,14
"228",228,"Boundextrasmall","Health","2010",110,"PA","Willow Grove",8838341,6521158,2317183,4
"229",229,"Efferentfinished","Health","2014",30,"MD","Rockville",7650502,2140030,5510472,8
"230",230,"Trogleguarantee","IT Services","2008",53,"GA","Canton",6813318,3769434,3043884,68
"231",231,"Chloridesfixation","Financial Services","2009",14,"OH","Independence",6025849,2016500,4009349,7
"232",232,"Raisinscotta","IT Services","2003",48,"SC","Irmo",4447066,6652796,-2205730,88
"233",233,"Sandhillrisk","IT Services","2009",51,"VA","Sterling",4022980,2447209,1575771,75
"234",234,"Vertextractor","IT Services","2012",41,"MD","Hanover",4229255,8516661,-4287406,77
"235",235,"Parkourwoodchat","IT Services","2013",110,"OH","Cincinnati",12853705,6339352,6514353,67
"236",236,"Ritelepus","Software","2013",818,"CA","San Luis Obispo",5662326,4932726,729600,46
"237",237,"Coiledsheriff","Software","2009",67,"MA","Boston",6944609,639513,6305096,64
"238",238,"Stylishhypothesis","IT Services","2011",73,"WA","Bellevue",1889370,3170938,-1281568,87
"239",239,"Glaciertolerant","Retail","2013",1,"GA","Atlanta",9007630,4696022,4311608,14
"240",240,"Squeezebasement","Health","2010",1442,"TX","Fort Worth",6681594,3852682,2828912,7
"241",241,"Sounderfibber","IT Services","2011",372,"MN","Minnetonka",14727740,6403759,8323981,60
"242",242,"Lowdirect","Government Services","2011",56,"MD","Annapolis",3615375,4691188,-1075813,12
"243",243,"Improvelonely","Software","2010",150,"DC","Washington",4977212,462545,4514667,42
"244",244,"Crashingsubmitted","Government Services","2009",52,"VA","Falls Church",9941771,3824137,6117634,12
"245",245,"Peskyevaluate","IT Services","2010",45,"VA","Richmond",9909910,4284410,5625500,81
"246",246,"Circinuscategory","IT Services","2013",32,"NJ","Cranbury",7477737,5274251,2203486,82
"247",247,"Chestnutanorexia","Government Services","2013",30,"VA","Stafford",7920774,6025148,1895626,5
"248",248,"Waterka","Government Services","2005",115,"MD","Columbia",6140424,6017012,123412,14
"249",249,"Muttletpocket","IT Services","2012",36,"UT","South Jordan",2958098,7560119,-4602021,76
"250",250,"Pluggedword","Retail","2009",9,"FL","Pembroke Pines",6821009,3107320,3713689,10
"251",251,"Clocksgarrulous","Government Services","2014",29,"VA","Falls Church",8580523,4618266,3962257,14
"252",252,"Estermourn","Construction","2010",20,"ID","Worley",8939513,5303734,3635779,12
"253",253,"Splashnuts","Construction","2012",272,"FL","Apopka",11004547,3182829,7821718,8
"254",254,"Aldabaranbox","Software","2010",15,"IN","Anderson",2407941,5230774,-2822833,49
"255",255,"Elderlyhair","IT Services","2013",21,"FL","Jacksonville",8496750,6555897,1940853,62
"256",256,"Colouredrecipe","IT Services","2010",34,"KY","Louisville",7856228,5663096,2193132,89
"257",257,"Easterntwisted","IT Services","2011",30,"VA","Reston",3074282,4670258,-1595976,62
"258",258,"Bindauthorized","Health","2011",31,"FL","Tampa",2509018,3211123,-702105,6
"259",259,"Pointchough","Software","2014",36,"MD","Baltimore",5496567,4986520,510047,44
"260",260,"Sootycrushing","Software","2011",41,"VA","Reston",1477370,6195130,-4717760,60
"261",261,"Cometscasting","Health","2014",134,"UT","Salt Lake City",5041969,3293814,1748155,12
"262",262,"Proteincosines","Health","2011",19,"NJ","Rutherford",3745292,6770283,-3024991,9
"263",263,"Gleanworn","IT Services","2012",9,"MI","Sterling Heights",6689444,9046498,-2357054,90
"264",264,"Chadhelpful","IT Services","2011",62,"MA","Boston",4981017,3738581,1242436,64
"265",265,"Weedycavus","Government Services","2011",150,"MD","Rockville",8587453,6405470,2181983,5
"266",266,"Reliablepaver","IT Services","2011",91,"CA","North Hollywood",1139805,3354029,-2214224,73
"267",267,"Circlechop","Software","2010",14,"SFO","San Francisco",6843806,5929828,913978,46
"268",268,"Itemswazzed","IT Services","2004",13,"MN","Edina",1842677,1417656,425021,60
"269",269,"Sparrowchorizo","IT Services","2011",425,"CO","Broomfield",13163038,3439228,9723810,60
"270",270,"Pumpkinmothers","Health","2011",101,"GA","Atlanta",9837182,6500700,3336482,8
"271",271,"Matcapillary","Software","2011",64,"CA","Redwood City",1059602,5293164,-4233562,48
"272",272,"Presslute","Construction","2011",37,"CA","El Cajon",2632069,4669810,-2037741,15
"273",273,"Wealthabounding","Retail","2012",28,"SC","Hilton Head Island",5143620,2191140,2952480,10
"274",274,"Cleavagesling","Software","2012",19,"OH","Boardman",1723471,1267422,456049,61
"275",275,"Laboredshocked","IT Services","2008",23,"OR","Medford",7740868,1876606,5864262,90
"276",276,"Appaloosasmiling","IT Services","2010",75,"NC","Charlotte",9621510,4750543,4870967,62
"277",277,"Clasticmach","Retail","2014",28,"CT","Norwalk",8074313,968518,7105795,13
"278",278,"Expandcostgullible","IT Services","2012",25,"VA","Chantilly",2254127,7237383,-4983256,75
"279",279,"Hypergalaxypegasus","Construction","2009",103,"UT","Centerville",9127759,2005195,7122564,11
"280",280,"Rageenvious","IT Services","2009",25,"MD","Savage",5127689,3330829,1796860,79
"281",281,"Rinkmusic","Health","2013",37,"NY","Westbury",2681234,9331421,-6650187,5
"282",282,"Scoreboardchaos","Retail","2013",43,"TX","Austin",9759118,7065343,2693775,15
"283",283,"Picklescrudivore","Health","2010",539,"CO","Denver",9295571,2563500,6732071,6
"284",284,"Pausehydrocarbon","Financial Services","2012",239,"FL","Maitland",8759409,765624,7993785,6
"285",285,"Neodymiumscandalous","IT Services","2011",99,"NJ","Edison",2031922,4248247,-2216325,87
"286",286,"Februaryvanadium","IT Services","2010",116,"MA","Rockland",12775650,5531004,7244646,75
"287",287,"Avogadroethanoate","Health","2010",143,"RI","Coventry",10926954,6191046,4735908,10
"288",288,"Assuredcarbon","Financial Services","2010",23,"FL","Summerfield",5027711,4368407,659304,9
"289",289,"Annoyhog","Health","2009",90,"FL","Medley",9095798,7494847,1600951,9
"290",290,"Dingalingflee","Retail","2011",44,"IL","Tinley Park",5728935,6187326,-458391,12
"291",291,"Equalityshape","Health","2006",27,"CO","Denver",2812524,4220455,-1407931,6
"292",292,"Kestrelpumpion","Financial Services","2011",1387,"CA","Santa Ana",9023857,4453820,4570037,6
"293",293,"Mathassertive","IT Services","2007",102,"VA","Chantilly",10804178,3549635,7254543,74
"294",294,"Wightmuon","Retail","2013",13,"TX","San Antonio",5622913,7957743,-2334830,12
"295",295,"Optimismexterior","Construction","2009",28,"IL","Bellwood",1469130,4316632,-2847502,9
"296",296,"Shovelerablaze","Construction","1999",150,"IL","Downers Grove",6014864,3570801,2444063,7
"297",297,"Posseratty","Retail","2014",13,"TN","Memphis",1217535,1450080,-232545,10
"298",298,"Freezehouses","IT Services","2011",175,"SC","Mount Pleasant",13062368,4786821,8275547,62
"299",299,"Damedash","Construction","2012",48,"CA","San Diego",8255318,3877333,4377985,11
"300",300,"Weepingwhisky","Financial Services","2012",28,"MO","St. Louis",5362529,2950689,2411840,6
"301",301,"Gianttempting","IT Services","2001",6,"GA","Woodstock",5676199,6486427,-810228,89
"302",302,"Frillyshaving","IT Services","2010",100,"VA","Reston",13860540,2442826,11417714,64
"303",303,"Clawasked","IT Services","2012",270,"NJ","Iselin",15883703,5267075,10616628,82
